Наименование;Артикул;Цена;Наличие
Диск FC-2 для нарезки ломтиками толщиной 2 мм.; 1010220;6 943.33 ;Есть
Диск FC-3 для нарезки ломтиками толщиной 3 мм.; 1010222;6 943.33 ;Есть
Диск FCC-3 для нарезки ломтиками 3 мм. мягких продуктов; 1010230;6 943.33 ;Есть
Диск FCC-2 для нарезки ломтиками 2 мм. мягких продуктов; 1010225;6 943.33 ;Есть
Набор инструментов для жарочной поверхности Krampouz ASP1; ASP1;41 268.12 ;Есть
Нож для готового мяса серии Connoisseur 305 мм. Dexter-Russell 40D-12-PCP; 13032;7 302 ;Есть
Набор поварских ножей из 3-х предметов серии V-Lo Dexter-Russell V3-CP; 29803;7 315 ;Есть
Диск-решетка FM-20 для нарезки кубиками 20x20x10 мм.; 1010290;7 299.40 ;Есть
Диск-решетка FM-8 для нарезки кубиками 8x8x8 мм.; 1010280;7 299.40 ;Есть
Диск-решетка FFC-10+ для нарезки брусочками 10 мм.; 1010355;7 566.45 ;Есть
Диск-решетка FFC-8+ для нарезки брусочками 8 мм.; 1010350;7 566.45 ;Есть
Диск-решетка FMC-10+ для нарезки кубиками 10x10x10 мм.; 1010365;7 566.45 ;Есть
Диск-решетка FMC-14+ для нарезки кубиками 14x14x10 мм.; 1010370;7 566.45 ;Есть
Диск-решетка FMC-20+ для нарезки кубиками 20x20x10 мм.; 1010375;7 566.45 ;Есть
Диск-решетка FMC-25+ для нарезки кубиками 25x25x10 мм.; 1010380;7 566.45 ;Есть
Диск-решетка FF-10 для нарезки брусочками 10 мм.; 1010275 ;7 744.48 ;Есть
Диск-решетка FF-6 для нарезки брусочками 6 мм.; 1010265;7 744.48 ;Есть
Диск-решетка FF-8 для нарезки брусочками 8 мм.; 1010270;7 744.48 ;Есть
Диск FCO-3 для нарезки волнистыми ломтиками 3 мм.; 1010300;6 943.33 ;Есть
Диск FCO-6 для нарезки волнистыми ломтиками 6 мм.; 1010305;7 744.48 ;Есть
Фритюрница FriFri 828; 828;27 927 ;Есть
Набор посуды из нержавеющей стали Magefesa Practika; 01BXPRACT07;8 248.04 ;Есть
Внешний вакуумный набор VAC-NORM; 2149244;104 726 ;Есть
Набор посуды из нержавеющей стали Magefesa Royal; 01BXROYAL06;8 248.04 ;Есть
Настольный стенд для вафель на палочках высотой 380 мм. Neumarker 10-40003; 10-40003;8 723.67 ;Есть
Набор посуды из нержавеющей стали Magefesa Dux; 01BXDUX007P;15 772.59 ;Есть
Крышка из калёного стекла Dejelin; 5412400002808;3 738.71 ;Есть
Корзина для сбора сока Dejelin; 82527;9 079.74 ;Есть
Фритюрница FriFri 1905; 1905;12 729.43 ;Есть
Набор Dejelin Confort Set 65 мм.; 5412400002655;9 079.74 ;Есть
Фритюрница FriFri 5828; 5828;7 315 ;Есть
Соковыжималка L'equip LJ-110.5; LJ-110.5;11 127.13 ;Есть
Решетка для вафель Neumarker 10-10060; 10-10060;10 682.04 ;Есть
Программатор для блендеров Blendtec SpaceSaver и Smoother; 20-501;11 219.64 ;Есть
Нож Сантоку поварской серии Connoisseur 178 мм. Dexter-Russell 50-7-PCP; 12162;2 686.22 ;Есть
Нож поварской серии Connoisseur 203 мм. Dexter-Russell 50-8-PCP; 12132;5 018.12 ;Есть
Соковыжималка L'equip LJ-215; LJ-215;10 058.92 ;Есть
Нож поварской серии Connoisseur 254 мм. Dexter-Russell 50-10-PCP; 12142;13 308 ;Есть
Деревянные палочки для вафель 150x18 мм. упак. 1000 шт. Neumarker 10-90093; 10-90093;13 174.52 ;Есть
Насадка-экстрактор для сыродавленных масел Samson Oil Extractor; Oil Extractor;13 353 ;Есть
Профессиональный горизонтальный тостер Milantoast 14005; 014005;14 924 ;Есть
Стакан Blendtec WildSide 2,84 л.; 40-615-60;15 743.97 ;Есть
Формирователь вафельных корзиночек Basket Press II Neumarker 31-40262; 31-40262;12 729.43 ;Есть
Набор посуды из нержавеющей стали Magefesa Kuchen; 01BXKUCHE09;8 757.70 ;Есть
Рисоварка профессиональная 8 л. Neumarker 00-00336; 00-00336;18 415.18 ;Есть
Стакан для вспенивания холодного молока Blendtec FROTHING JAR; 40-611-60 ;19 268.22 ;Есть
Боковой стол для посудомоечной машины Sammic SL-900; 1310020;84 567 ;Есть
Anova Precision Cooker ASVPIPE 1.2 су-вид термостат (sous-vide) (упаковка с незначительными замятостями); A1-220EU-K1;19 708 ;Есть
Профессиональный горизонтальный тостер Milantoast 14055; 014055;20 160 ;Есть
Стакан Blendtec Twister 0,9 л.; 40-620-54;21 295.44 ;Есть
Кольчужная перчатка Crewware MGA515XL; MGA515XL;21 324.81 ;Есть
Кольчужная перчатка Crewware MGA515S; MGA515S ;21 324.81 ;Есть
Кольчужная перчатка Crewware MGA515M; MGA515M ;21 324.81 ;Есть
Кольчужная перчатка Crewware MGA515L; MGA515L ;21 751.57 ;Есть
Формирователь вафельных конусов Cornetti Roller Neumarker 31-40290; 31-40290;12 729.43 ;Есть
Электрокипятильник заливной Hogastra HWT-6; HWT-6;28 276 ;Есть
Двухкамерная печь для пиццы Milantoast 15069; 15069;24 437 ;Есть
Стенд для установки картофелечисток моделей Sammic PP-6+ и PP-12+; 1000399;99 074.20 ;Есть
Электрогриль Krampouz Authentic; GECIB3AO;7 032.34 ;Есть
Мандариновый комплект Z32 (D65 kit Speed); 33.029.000;26 182 ;Есть
Мандариновый комплект Z100 (D65 kit Essential); 33.027.000 ;26 706 ;Есть
Мандариновый комплект Z200 (D65 kit Versatile); 33.028.000 ;26 706 ;Есть
Мармит настольный с гастроемкостью GN 1/1 Neumarker 15-50220; 15-50220;27 840 ;Есть
Пресс-гриль прижимной Milantoast 16000; 016000 ;7 032.34 ;Есть
Пресс-гриль прижимной Milantoast 16001; 016001;9 791.87 ;Есть
Контактный пресс-гриль Milantoast 16002; 016002;27 927 ;Есть
Электрокипятильник заливной Hogastra HWT-10;  HWT-10;38 836 ;Есть
Электрокипятильник заливной автоматический Hogastra HWA-10; HWA-10;28 276 ;Есть
Коммерческий тостер с зажимами Milantoast 7001 (gold); 007001;27 491 ;Есть
Коммерческий тостер с зажимами Milantoast 7003 (red); 007003;27 491 ;Есть
Коммерческий тостер с зажимами Milantoast 7004 (blue); 007004 ;27 491 ;Есть
Коммерческий тостер с зажимами Milantoast 7005 (black); 007005;27 491 ;Есть
Мармит ламповый подвесной с куполом Neumarker 10-10554 ; 10-10554 ;29 673 ;Есть
Профессиональная фильтр-кофеварка Hogastra CNS-75; CNS-75 ;40 145 ;Есть
Ручной диспенсер жидкого теста Neumarker 00-40256; 00-40256;37 654.20 ;Есть
Контактный пресс-гриль Milantoast 16030; 016030;38 138 ;Есть
Электрокипятильник заливной Hogastra HWT-15; HWT-15 ;28 276 ;Есть
Профессиональная фильтр-кофеварка Hogastra CNS-100; CNS-100 ;34 124 ;Есть
Подогреватель шоколада 1.5l; 05-40813;40 324.71 ;Есть
Комплект ножей Sammic DISC AND GRID PACK FOR CA/CK-3; 1010203;105 270.48 ;Есть
Жарочная поверхность с одной зоной нагрева Krampouz Saveur (витринный экземпляр); GECIA3AO;7 032.34 ;Есть
Профессиональная фильтр-кофеварка Hogastra CNS-130; CNS-130;34 124 ;Есть
Электрокипятильник заливной Hogastra HWT-20; HWT-20 ;45 207.56 ;Есть
Электрокипятильник заливной автоматический Hogastra HWA-20; HWA-20 ;44 771 ;Есть
"Съемная форма ""Американо"" 31-40733"; 31-40733;47 179.02 ;Есть
Съемная форма «Бабочки» на палочках 32-40737; 32-40737;47 179.02 ;Есть
"Съемная форма ""Большое сердце"" 32-40720"; 32-40720;47 179.02 ;Есть
"Съемная форма ""Вафли Тарт"" 32-40736"; 32-40736;47 179.02 ;Есть
"Съемная форма ""Греческие вафли"" 32-40732"; 32-40732;47 179.02 ;Есть
"Съемная форма ""Лолли"" на палочках 31-40759"; 31-40759;47 179.02 ;Есть
Съемная форма «Мишки» на палочках 31-40731; 31-40731;47 179.02 ;Есть
"Съемная форма ""Сердечки"" на палочках 32-40744"; 32-40744;47 179.02 ;Есть
"Съемная форма ""Багет вафли"" 31-40765"; 31-40765;47 179.02 ;Есть
"Съемная форма ""Toastoo"" 31-40730"; 31-40730;47 179.02 ;Есть
Жарочная поверхность Milantoast 17080; 017080;48 174 ;Есть
Соковыжималка Santos #10C; #10C;54 357.98 ;Есть
Аппарат для хот-догов NEUMARKER 13-50152; 13-50152;50 561.67 ;Есть
Профессиональная фильтр-кофеварка Hogastra CNS-160; CNS-160 ;40 145 ;Есть
Подогреватель шоколада 3.5l; 05-40815;53 588.25 ;Есть
Конвейерный тостер Milantoast 18001; 018001;56 727 ;Есть
Конвейерный тостер Milantoast 18021; 018021;62 051 ;Есть
Сэндвич-тостер Neumarker 12-40718E; 2-40718E;68 072 ;Есть
"Вафельница ""Большое сердце"" диам. 21 см. угол 90 град. Neumerker 12-40720E"; 12-40720E;69 433.28 ;Есть
"Вафельница ""Крем вафли"" на палочках угол 90 град. Neumarker 12-40713E"; 12-40713E;69 433.28 ;Есть
"Вафельница ""Мишки"" на палочках угол 90 град. Neumarker 12-40731E"; 12-40731E;69 433.28 ;Есть
"Вафельница ""Бабочки"" на палочках угол 90 град. Neumarker 12-40737E"; 12-40737E;69 433.28 ;Есть
Сэндвич-тостер Neumarker 12-40718DT; 12-40718DT;80 650.29 ;Есть
Вафельница Baking System I Neumarker 12-40701DT; 12-40701DT;81 895.66 ;Есть
Стойка для бутылок Bottle Rack Kit Speed Pro (включает 3 полки); 04732;83 345 ;Есть
"Вафельница ""Мишки"" на палочках угол 90 град. Neumarker 12-40731DT"; 12-40731DT;83 676.00 ;Есть
"Вафельница ""Сердечки"" на палочках угол 90 град. Neumarker 12-40711DT"; 12-40711DT;83 676.00 ;Есть
"Вафельница ""Американо"" угол 90 град. Neumarker 12-40721DT"; 12-40721DT;83 676.00 ;Есть
